Cell,normalized_dimapd,mean_ploidy,ploidy_confidence,is_high_dimapd,is_noisy,coverage_per_1Mbp
435,1.2233280326,2.47333234078,8,0,0,266
436,1.27068476902,2.11145532784,13,0,0,212
437,1.26015503847,6.91708959456,0,0,1,159
438,0.821882894325,1.95872633147,4,0,0,432
439,1.19377149017,2.46887007813,6,0,0,169
440,1.20175006436,1.53816323058,9,0,0,258
441,0.911150254973,1.95713809797,8,0,0,131
442,1.08848245814,1.77273758865,10,0,0,538
443,1.12456143465,2.155206997,10,0,0,130
444,1.19040864467,1.53340994212,10,0,0,294
445,1.25019541325,2.42164419893,7,0,0,257
446,1.06191006164,1.73510037085,9,0,0,337
447,1.32436409663,2.45407946231,7,0,0,270
448,0.778001434688,1.9619385259,3,0,0,488
449,1.24414622527,1.54635658255,10,0,0,449
450,1.15286781054,1.76163977656,-4,0,1,453
451,1.22134387868,1.49399889341,12,0,0,311
452,1.41882887461,2.74056530187,4,0,0,291
453,1.09837083113,1.6689240457,10,0,0,425
454,1.24066086897,2.26073108272,-3,0,0,332
455,1.29868173525,1.46201028186,9,0,0,328
456,1.20326036248,2.27004054897,1,0,1,126
457,1.1788328209,2.24344569288,9,0,0,331
458,1.09166246512,1.84322577445,6,0,0,68
459,1.16226562273,1.63228477056,11,0,0,172
460,1.37235842853,2.40836849757,9,0,0,321
461,1.29887045524,3.8585030734,-3,0,0,263
462,1.31380794123,2.20765604509,8,0,0,158
463,1.3441747064,2.28510336513,7,0,0,251
464,1.17481885554,1.50842025399,12,0,0,255
465,1.2029093165,2.49452606501,5,0,0,183
466,1.13427490759,1.5468262522,11,0,0,255
467,0.825529747313,1.96035301623,12,0,0,426
468,1.30180951542,1.56063818472,11,0,0,474
469,1.07911309045,1.69239222136,13,0,0,140
470,0.815578031561,1.96042362248,3,0,0,322
471,1.26735788566,2.25250033669,9,0,0,142
472,1.08995139688,1.7442297465,11,0,0,263
473,1.03465071815,2.03650349155,11,0,0,304
474,1.37596230555,2.29940540387,12,0,0,425
475,1.14785093624,1.53225463363,9,0,0,253
476,1.21220401317,2.18986372467,14,0,0,345
477,1.18739980844,2.29023819651,13,0,0,239
478,1.28531272427,2.51901958002,7,0,0,451
479,1.04938448823,1.82226223303,9,0,0,194
480,1.19267363418,1.54506535114,10,0,0,196
481,0.97347668782,1.82202331981,6,0,0,422
482,1.18082687106,6.31617964946,2,0,1,73
483,1.21349846205,1.53797342711,7,0,0,226
484,1.1078034331,2.07943428328,-3,0,0,231
485,1.16760005763,6.90204848313,0,0,1,125
486,1.2303081918,1.58978868246,10,0,0,401
487,1.27181989495,2.37276885438,11,0,0,231
488,1.02659055304,1.82120885663,13,0,0,318
489,1.28730053125,2.33843186476,9,0,0,330
490,1.17945596979,6.74754893273,1,0,1,111
491,1.20940661808,7.55036820208,0,0,1,97
492,1.31091204422,2.36123560447,9,0,0,227
493,1.19282412214,1.47752020417,4,0,0,250
494,0.983007489314,1.80786951714,10,0,0,251
495,1.2232296938,1.55507182665,11,0,0,292
496,1.05741645971,7.69192656649,2,0,1,189
497,1.17010761381,2.57182751191,2,0,1,166
498,1.24552891427,2.87993590153,9,0,0,276
499,1.25911104121,2.2870198375,9,0,0,198
500,1.11585394005,1.71016670447,14,0,0,117
501,1.19259772311,3.67810176028,3,0,0,135
502,0.966400014799,1.89515991834,10,0,0,289
503,1.31595798751,2.42141443378,-3,0,0,363
